"Enhanced Installments","Parcelamento e descontos aprimorados"
"Enhanced Installments Configuration","Configuração de parcelamento e descontos aprimorados"
"General","Geral"
"Enable","Habilitar"
"Enable payment discounts and installment information on the storefront.","Habilita os descontos por forma de pagamento e as informações de parcelamento na loja."
"Bank Slip Discount (%)","Desconto no boleto (%)"
"PIX Discount (%)","Desconto no PIX (%)"
"Default percentage used when the product and customer group do not override it.","Percentual padrão usado quando não houver substituição no produto ou grupo de clientes."
"Maximum Number of Installments","Número máximo de parcelas"
"Maximum number of interest-free credit card installments.","Número máximo de parcelas sem juros no cartão de crédito."
"Minimum Installment Amount","Valor mínimo da parcela"
"Minimum value per installment in the store currency. Use 0 to disable the limit.","Valor mínimo de cada parcela na moeda da loja. Use 0 para desabilitar o limite."
"Payment Discount per Customer Group","Desconto por forma de pagamento e grupo de clientes"
"Add","Adicionar"
"Customer Group","Grupo de clientes"
"Payment Method","Forma de pagamento"
"PIX","PIX"
"Bank Slip","Boleto"
"Discount (%)","Desconto (%)"
"Delete","Excluir"
"Each customer group discount must have a group, payment method and percentage from 0 to 100.","Cada desconto por grupo deve ter um grupo, uma forma de pagamento e um percentual de 0 a 100."
"Enter a percentage from 0 to 100.","Informe um percentual de 0 a 100."
"Enter an integer greater than zero.","Informe um número inteiro maior que zero."
"Enter a number equal to or greater than zero.","Informe um número maior ou igual a zero."
"Special PIX price with %1% discount","Preço especial no PIX com %1% de desconto"
"Special bank slip price with %1% discount","Preço especial no boleto com %1% de desconto"
"%1% OFF","%1% OFF"
"Special price with %1% discount","Preço especial com %1% de desconto"
"via PIX (%1% discount)","no PIX (%1% de desconto)"
"or","ou"
"of","de"
"without interest","sem juros no cartão"
" via PIX"," no PIX"
"or in up to %1 installments of %2 without interest on the credit card","ou em até %1x de %2 sem juros no cartão"
